WMOID,HEIGHT,DATE,TIME,HEIGHT,N_DRY,N_WET,TEMPERATURE,PRESSURE,DEWPOINT,RHOWV
11747,216,2024-02-09,00:00:00,216,266.0465,48.6108,280.96,9730,279.76,0.007517313
11747,544,2024-02-09,00:00:00,544,253.9406,44.43128,282.96,9350,278.66,0.006917417
11747,636,2024-02-09,00:00:00,636,251.2829,42.91152,282.96,9250,278.16,0.006680809
11747,1334,2024-02-09,00:00:00,1334,234.8087,36.05423,278.56,8500,275.26,0.005530275
11747,2402,2024-02-09,00:00:00,2402,211.6731,27.65259,270.86,7440,270.86,0.004130011
11747,2891,2024-02-09,00:00:00,2891,201.0922,23.51327,268.46,7000,268.46,0.00348217
11747,3748,2024-02-09,00:00:00,3748,183.1521,15.824,264.46,6270,262.96,0.002310176
11747,3847,2024-02-09,00:00:00,3847,181.2092,16.02059,263.86,6190,263.06,0.002333822
11747,4099,2024-02-09,00:00:00,4099,177.1837,8.898651,261.66,5990,255.66,0.001286022
11747,4150,2024-02-09,00:00:00,4150,175.8216,12.29533,261.66,5950,259.56,0.001776906
11747,4463,2024-02-09,00:00:00,4463,170.2864,12.1164,259.26,5710,259.16,0.001735733
11747,5470,2024-02-09,00:00:00,5470,153.3883,5.986066,252.46,5000,250.26,0.0008360621
11747,6938,2024-02-09,00:00:00,6938,130.6829,2.381393,242.06,4080,239.46,0.0003195002
11747,7080,2024-02-09,00:00:00,7080,128.6625,2.133778,241.06,4000,238.26,0.0002851475
11747,7514,2024-02-09,00:00:00,7514,121.9695,1.723673,239.06,3760,235.96,0.0002285144
11747,9050,2024-02-09,00:00:00,9050,103.1459,0.4047324,225.66,3000,221.56,0.00005077199
11747,9272,2024-02-09,00:00:00,9272,100.6022,0.3332641,223.66,2900,219.76,0.00004145103
11747,10230,2024-02-09,00:00:00,10230,89.86743,0.1308184,215.86,2500,211.66,0.00001572576
11747,11304,2024-02-09,00:00:00,11304,79.15916,0.03480261,205.86,2100,201.36,0.000003997065
11747,11600,2024-02-09,00:00:00,11600,76.20438,0.02604393,203.66,2000,199.26,0.000002960349
11747,11781,2024-02-09,00:00:00,11781,74.28308,0.0233082,202.66,1940,198.46,0.000002636855
11747,12624,2024-02-09,00:00:00,12624,65.68932,0.01242537,198.46,1680,194.16,0.000001377598
11747,12966,2024-02-09,00:00:00,12966,60.11078,0.00723866,205.26,1590,191.26,0.0000008290241
