2024-02-11 16:00:00.00,970,970
2024-02-11 17:00:00.00,833,833
2024-02-12 00:00:00.00,895,879
2024-02-12 01:00:00.00,848,832
2024-02-12 02:00:00.00,988,969
2024-02-12 03:00:00.00,1099,1098
2024-02-12 04:00:00.00,1066,1066
2024-02-12 05:00:00.00,1035,1019
2024-02-12 06:00:00.00,912,912
2024-02-12 07:00:00.00,928,928
2024-02-12 08:00:00.00,959,959
2024-02-12 09:00:00.00,870,870
2024-02-12 10:00:00.00,1048,1048
2024-02-12 11:00:00.00,1009,1009
2024-02-12 12:00:00.00,975,975
2024-02-12 13:00:00.00,1034,1034
2024-02-12 14:00:00.00,1017,1017
2024-02-12 15:00:00.00,944,944
2024-02-12 16:00:00.00,1036,1036
2024-02-12 17:00:00.00,981,981
2024-02-13 00:00:00.00,1087,1087
2024-02-13 01:00:00.00,996,996
2024-02-13 02:00:00.00,994,994
2024-02-13 03:00:00.00,1130,1130
2024-02-13 04:00:00.00,976,976
2024-02-13 05:00:00.00,1039,1039
2024-02-13 06:00:00.00,846,846
2024-02-13 07:00:00.00,903,903
2024-02-13 08:00:00.00,946,946
2024-02-13 09:00:00.00,1003,1003
2024-02-13 10:00:00.00,1021,1021
2024-02-13 11:00:00.00,1047,1047
2024-02-13 12:00:00.00,817,817
2024-02-13 13:00:00.00,901,901
2024-02-13 14:00:00.00,875,875
2024-02-13 15:00:00.00,915,915
2024-02-13 16:00:00.00,865,865
2024-02-13 17:00:00.00,884,884
2024-02-14 00:00:00.00,1146,1146
2024-02-14 01:00:00.00,1037,1037
2024-02-14 02:00:00.00,964,964
2024-02-14 03:00:00.00,918,918
2024-02-14 04:00:00.00,957,957
2024-02-14 05:00:00.00,926,926
2024-02-14 06:00:00.00,864,864
2024-02-14 07:00:00.00,884,884
2024-02-14 08:00:00.00,887,887
2024-02-14 09:00:00.00,1069,1069
2024-02-14 10:00:00.00,1080,1080
2024-02-14 11:00:00.00,990,990
2024-02-14 12:00:00.00,990,979
2024-02-14 13:00:00.00,871,861
2024-02-14 14:00:00.00,894,868
2024-02-14 15:00:00.00,817,817
2024-02-14 16:00:00.00,832,831
2024-02-14 17:00:00.00,916,904
2024-02-15 00:00:00.00,1075,1051
2024-02-15 01:00:00.00,1050,1010
2024-02-15 02:00:00.00,1017,938
2024-02-15 03:00:00.00,1025,936
2024-02-15 04:00:00.00,964,897
2024-02-15 05:00:00.00,887,835
2024-02-15 06:00:00.00,860,807
2024-02-15 07:00:00.00,907,834
2024-02-15 08:00:00.00,922,844
2024-02-15 09:00:00.00,1009,952
2024-02-15 10:00:00.00,961,909
2024-02-15 11:00:00.00,1111,1018
2024-02-15 12:00:00.00,1058,968
2024-02-15 13:00:00.00,970,871
2024-02-15 14:00:00.00,1030,947
2024-02-15 15:00:00.00,986,882
2024-02-15 16:00:00.00,1010,902
2024-02-15 17:00:00.00,1007,947
2024-02-16 00:00:00.00,1065,1048
2024-02-16 01:00:00.00,1006,980
2024-02-16 02:00:00.00,1010,950
2024-02-16 03:00:00.00,1000,944
2024-02-16 04:00:00.00,839,807
2024-02-16 05:00:00.00,852,834
2024-02-16 06:00:00.00,912,893
2024-02-16 07:00:00.00,934,932
2024-02-16 08:00:00.00,946,906
2024-02-16 09:00:00.00,1043,1018
2024-02-16 10:00:00.00,1001,978
2024-02-16 11:00:00.00,947,915
2024-02-16 12:00:00.00,945,911
2024-02-16 13:00:00.00,857,824
2024-02-16 14:00:00.00,913,881
2024-02-16 15:00:00.00,937,906
2024-02-16 16:00:00.00,991,968
2024-02-16 17:00:00.00,1110,1087
2024-02-17 00:00:00.00,1107,1068
2024-02-17 01:00:00.00,948,948
2024-02-17 02:00:00.00,982,959
2024-02-17 03:00:00.00,876,876
2024-02-17 04:00:00.00,1064,1055
2024-02-17 05:00:00.00,945,944
2024-02-17 06:00:00.00,904,868
2024-02-17 07:00:00.00,1028,1005
2024-02-17 08:00:00.00,1076,1052
2024-02-17 09:00:00.00,1107,1062
2024-02-17 10:00:00.00,1006,948
2024-02-17 11:00:00.00,1003,942
2024-02-17 12:00:00.00,1000,963
2024-02-17 13:00:00.00,809,750
2024-02-17 14:00:00.00,977,901
2024-02-17 15:00:00.00,1001,944
2024-02-17 16:00:00.00,974,878
2024-02-17 17:00:00.00,983,869
2024-02-18 00:00:00.00,982,982
2024-02-18 01:00:00.00,979,979
2024-02-18 02:00:00.00,945,945
2024-02-18 03:00:00.00,991,978
2024-02-18 04:00:00.00,952,940
2024-02-18 05:00:00.00,890,864
