WMOID	HEIGHT	DATE	TIME	HEIGHT	N_DRY	N_WET	TEMPERATURE	PRESSURE	DEWPOINT	RHOWV
11747	216	2024-02-15	00:00:00	216	274.96	39.65592	279.16	9970	276.66	0.006095178
11747	364	2024-02-15	00:00:00	364	270.4934	37.04539	278.76	9790	275.66	0.005686185
11747	414	2024-02-15	00:00:00	414	267.4942	36.42495	280.16	9730	275.56	0.005617623
11747	541	2024-02-15	00:00:00	541	262.9576	39.8844	280.36	9580	276.86	0.006155327
11747	830	2024-02-15	00:00:00	830	255.8622	39.93442	278.16	9250	276.66	0.006117091
11747	1514	2024-02-15	00:00:00	1514	239.5333	32.62332	273.36	8500	273.36	0.004915178
11747	1685	2024-02-15	00:00:00	1685	235.5068	30.34823	272.26	8320	272.26	0.004554899
11747	1723	2024-02-15	00:00:00	1723	232.7066	30.60314	274.16	8280	272.56	0.00462364
11747	2384	2024-02-15	00:00:00	2384	217.0212	18.03394	271.26	7620	265.26	0.002697216
11747	2562	2024-02-15	00:00:00	2562	212.9479	21.05647	270.06	7450	267.16	0.003136019
11747	2615	2024-02-15	00:00:00	2615	211.7507	16.56491	270.06	7400	264.06	0.002467074
11747	2626	2024-02-15	00:00:00	2626	211.4634	16.56491	270.06	7390	264.06	0.002467074
11747	3058	2024-02-15	00:00:00	3058	202.6722	16.69078	266.86	7000	263.86	0.002457774
11747	3761	2024-02-15	00:00:00	3761	189.1701	12.13256	261.26	6390	259.36	0.001750828
11747	4417	2024-02-15	00:00:00	4417	175.8702	6.716198	258.06	5860	252.06	0.0009578813
11747	5083	2024-02-15	00:00:00	5083	164.1172	4.89509	253.06	5360	248.06	0.0006852386
11747	5349	2024-02-15	00:00:00	5349	159.2946	2.47984	251.66	5170	240.66	0.0003453065
11747	5392	2024-02-15	00:00:00	5392	158.4979	2.436131	251.46	5140	240.46	0.0003389628
11747	5600	2024-02-15	00:00:00	5600	155.2741	2.773021	249.66	5000	241.66	0.0003831998
11747	5836	2024-02-15	00:00:00	5836	151.6523	2.513715	247.46	4840	240.46	0.0003444419
11747	7029	2024-02-15	00:00:00	7029	133.4049	0.5960324	237.86	4090	225.86	0.0000786388
11747	7190	2024-02-15	00:00:00	7190	131.1309	0.5886717	236.66	4000	225.66	0.00007729254
11747	8567	2024-02-15	00:00:00	8567	112.7951	0.2170882	224.26	3260	216.26	0.00002707069
11747	9085	2024-02-15	00:00:00	9085	106.0357	0.224882	220.26	3010	216.26	0.00002756231
11747	9110	2024-02-15	00:00:00	9110	105.684	0.211408	220.26	3000	215.76	0.0000259109
11747	9350	2024-02-15	00:00:00	9350	102.0946	0.03201466	219.66	2890	201.66	0.000003913563
11747	9507	2024-02-15	00:00:00	9507	99.98336	0.08806619	218.86	2820	208.86	0.0000107278
11747	9621	2024-02-15	00:00:00	9621	98.30344	0.01777605	218.66	2770	197.66	0.000002163494
11747	10270	2024-02-15	00:00:00	10270	89.9555	0.02126556	215.66	2500	198.66	0.000002554071
11747	10321	2024-02-15	00:00:00	10321	89.31871	0.02066896	215.46	2480	198.46	0.000002480205
11747	11106	2024-02-15	00:00:00	11106	78.43781	0.006958232	216.66	2190	191.66	0.0000008394324
11747	216	2024-02-15	00:00:00	216	274.96	39.65592	279.16	9970	276.66	0.006095178
11747	364	2024-02-15	00:00:00	364	270.4934	37.04539	278.76	9790	275.66	0.005686185
11747	414	2024-02-15	00:00:00	414	267.4942	36.42495	280.16	9730	275.56	0.005617623
11747	541	2024-02-15	00:00:00	541	262.9576	39.8844	280.36	9580	276.86	0.006155327
11747	830	2024-02-15	00:00:00	830	255.8622	39.93442	278.16	9250	276.66	0.006117091
11747	1514	2024-02-15	00:00:00	1514	239.5333	32.62332	273.36	8500	273.36	0.004915178
11747	1685	2024-02-15	00:00:00	1685	235.5068	30.34823	272.26	8320	272.26	0.004554899
11747	1723	2024-02-15	00:00:00	1723	232.7066	30.60314	274.16	8280	272.56	0.00462364
11747	2384	2024-02-15	00:00:00	2384	217.0212	18.03394	271.26	7620	265.26	0.002697216
11747	2562	2024-02-15	00:00:00	2562	212.9479	21.05647	270.06	7450	267.16	0.003136019
11747	2615	2024-02-15	00:00:00	2615	211.7507	16.56491	270.06	7400	264.06	0.002467074
11747	2626	2024-02-15	00:00:00	2626	211.4634	16.56491	270.06	7390	264.06	0.002467074
11747	3058	2024-02-15	00:00:00	3058	202.6722	16.69078	266.86	7000	263.86	0.002457774
11747	3761	2024-02-15	00:00:00	3761	189.1701	12.13256	261.26	6390	259.36	0.001750828
11747	4417	2024-02-15	00:00:00	4417	175.8702	6.716198	258.06	5860	252.06	0.0009578813
11747	5083	2024-02-15	00:00:00	5083	164.1172	4.89509	253.06	5360	248.06	0.0006852386
11747	5349	2024-02-15	00:00:00	5349	159.2946	2.47984	251.66	5170	240.66	0.0003453065
11747	5392	2024-02-15	00:00:00	5392	158.4979	2.436131	251.46	5140	240.46	0.0003389628
11747	5600	2024-02-15	00:00:00	5600	155.2741	2.773021	249.66	5000	241.66	0.0003831998
11747	5836	2024-02-15	00:00:00	5836	151.6523	2.513715	247.46	4840	240.46	0.0003444419
