WMOID	HEIGHT	DATE	TIME	HEIGHT	N_DRY	N_WET	TEMPERATURE	PRESSURE	DEWPOINT	RHOWV
12843	139	2024-02-14	11:00:00	139	275.0613	26.81401	282.56	10070	271.56	0.004169017
12843	200	2024-02-14	11:00:00	200	274.3258	26.64188	281.36	10000	271.36	0.004125547
12843	835	2024-02-14	11:00:00	835	259.9998	22.98724	274.76	9250	268.76	0.003480227
12843	1341	2024-02-14	11:00:00	1341	248.2825	21.21786	270.06	8680	267.26	0.003160055
12843	1451	2024-02-14	11:00:00	1451	243.8849	5.081989	272.06	8560	250.06	0.0007622117
12843	1510	2024-02-14	11:00:00	1510	242.3794	4.573201	271.86	8500	248.86	0.0006854224
12843	1529	2024-02-14	11:00:00	1529	241.6478	4.249705	272.06	8480	248.06	0.0006373832
12843	2051	2024-02-14	11:00:00	2051	227.0311	2.060613	271.26	7940	240.26	0.0003081921
12843	2161	2024-02-14	11:00:00	2161	224.0466	11.43281	270.46	7830	259.46	0.00170513
12843	2242	2024-02-14	11:00:00	2242	222.0166	9.551907	270.26	7750	257.26	0.001423603
12843	2574	2024-02-14	11:00:00	2574	214.3708	10.52788	268.26	7430	258.26	0.001558008
12843	2852	2024-02-14	11:00:00	2852	208.5281	8.315168	266.26	7170	255.26	0.001221815
12843	3041	2024-02-14	11:00:00	3041	204.283	0.6666805	265.86	7000	228.86	0.00009782063
12843	3186	2024-02-14	11:00:00	3186	201.1609	2.287868	264.86	6870	240.86	0.0003344913
12843	3265	2024-02-14	11:00:00	3265	199.2772	7.750891	264.26	6800	254.26	0.001130752
12843	3437	2024-02-14	11:00:00	3437	196.1846	2.555855	262.86	6650	241.86	0.0003709831
12843	3565	2024-02-14	11:00:00	3565	193.4125	7.624874	261.86	6540	253.86	0.00110274
12843	3826	2024-02-14	11:00:00	3826	187.6259	10.16587	260.66	6320	257.16	0.001463807
12843	4070	2024-02-14	11:00:00	4070	182.7671	8.045514	259.26	6120	254.26	0.001152559
12843	4487	2024-02-14	11:00:00	4487	175.169	8.614933	255.86	5790	254.76	0.00121869
12843	4789	2024-02-14	11:00:00	4789	169.2733	5.638852	254.46	5560	249.76	0.0007935212
12843	5580	2024-02-14	11:00:00	5580	155.2604	3.050152	249.66	5000	242.66	0.0004214961
12843	5712	2024-02-14	11:00:00	5712	152.9642	2.844349	248.86	4910	241.86	0.0003918534
12843	6136	2024-02-14	11:00:00	6136	146.2807	1.902502	245.46	4630	237.46	0.0002586766
12843	7170	2024-02-14	11:00:00	7170	131.1201	0.8190026	236.66	4000	228.66	0.000107535
12843	9046	2024-02-14	11:00:00	9046	106.1943	0.2441939	220.66	3020	216.96	0.00002998143
12843	9090	2024-02-14	11:00:00	9090	105.5874	0.2272643	220.46	3000	216.36	0.00002787858
12843	9831	2024-02-14	11:00:00	9831	96.33797	0.08185342	215.06	2670	208.06	0.000009804609
12843	10240	2024-02-14	11:00:00	10240	91.48083	0.0640296	212.06	2500	206.06	0.000007566746
12843	139	2024-02-14	11:00:00	139	275.0613	26.81401	282.56	10070	271.56	0.004169017
12843	200	2024-02-14	11:00:00	200	274.3258	26.64188	281.36	10000	271.36	0.004125547
12843	835	2024-02-14	11:00:00	835	259.9998	22.98724	274.76	9250	268.76	0.003480227
12843	1341	2024-02-14	11:00:00	1341	248.2825	21.21786	270.06	8680	267.26	0.003160055
12843	1451	2024-02-14	11:00:00	1451	243.8849	5.081989	272.06	8560	250.06	0.0007622117
12843	1510	2024-02-14	11:00:00	1510	242.3794	4.573201	271.86	8500	248.86	0.0006854224
12843	1529	2024-02-14	11:00:00	1529	241.6478	4.249705	272.06	8480	248.06	0.0006373832
12843	2051	2024-02-14	11:00:00	2051	227.0311	2.060613	271.26	7940	240.26	0.0003081921
12843	2161	2024-02-14	11:00:00	2161	224.0466	11.43281	270.46	7830	259.46	0.00170513
12843	2242	2024-02-14	11:00:00	2242	222.0166	9.551907	270.26	7750	257.26	0.001423603
12843	2574	2024-02-14	11:00:00	2574	214.3708	10.52788	268.26	7430	258.26	0.001558008
12843	2852	2024-02-14	11:00:00	2852	208.5281	8.315168	266.26	7170	255.26	0.001221815
12843	3041	2024-02-14	11:00:00	3041	204.283	0.6666805	265.86	7000	228.86	0.00009782063
12843	3186	2024-02-14	11:00:00	3186	201.1609	2.287868	264.86	6870	240.86	0.0003344913
12843	3265	2024-02-14	11:00:00	3265	199.2772	7.750891	264.26	6800	254.26	0.001130752
12843	3437	2024-02-14	11:00:00	3437	196.1846	2.555855	262.86	6650	241.86	0.0003709831
12843	3565	2024-02-14	11:00:00	3565	193.4125	7.624874	261.86	6540	253.86	0.00110274
12843	3826	2024-02-14	11:00:00	3826	187.6259	10.16587	260.66	6320	257.16	0.001463807
12843	4070	2024-02-14	11:00:00	4070	182.7671	8.045514	259.26	6120	254.26	0.001152559
12843	4487	2024-02-14	11:00:00	4487	175.169	8.614933	255.86	5790	254.76	0.00121869
12843	4789	2024-02-14	11:00:00	4789	169.2733	5.638852	254.46	5560	249.76	0.0007935212
12843	5580	2024-02-14	11:00:00	5580	155.2604	3.050152	249.66	5000	242.66	0.0004214961
12843	5712	2024-02-14	11:00:00	5712	152.9642	2.844349	248.86	4910	241.86	0.0003918534
12843	6136	2024-02-14	11:00:00	6136	146.2807	1.902502	245.46	4630	237.46	0.0002586766
12843	7170	2024-02-14	11:00:00	7170	131.1201	0.8190026	236.66	4000	228.66	0.000107535
12843	9046	2024-02-14	11:00:00	9046	106.1943	0.2441939	220.66	3020	216.96	0.00002998143
12843	9090	2024-02-14	11:00:00	9090	105.5874	0.2272643	220.46	3000	216.36	0.00002787858
12843	9831	2024-02-14	11:00:00	9831	96.33797	0.08185342	215.06	2670	208.06	0.000009804609
12843	10240	2024-02-14	11:00:00	10240	91.48083	0.0640296	212.06	2500	206.06	0.000007566746
