WMOID,HEIGHT,DATE,TIME,HEIGHT,N_DRY,N_WET,TEMPERATURE,PRESSURE,DEWPOINT,RHOWV
15420,91,2024-02-09,00:00:00,91,274.9626,35.19673,279.96,9990,275.06,0.00542452
15420,141,2024-02-09,00:00:00,141,270.4157,34.22703,282.96,9930,274.96,0.005328738
15420,276,2024-02-09,00:00:00,276,264.1606,33.76034,284.96,9770,274.96,0.005291338
15420,405,2024-02-09,00:00:00,405,259.8662,34.2,285.16,9620,275.16,0.005363819
15420,737,2024-02-09,00:00:00,737,251.2521,27.34933,283.96,9250,271.96,0.004272246
15420,764,2024-02-09,00:00:00,764,250.4323,27.34933,283.96,9220,271.96,0.004272246
15420,1435,2024-02-09,00:00:00,1435,235.2307,31.49004,278.36,8500,273.36,0.00482689
15420,1745,2024-02-09,00:00:00,1745,228.9338,26.15159,275.56,8180,270.56,0.003970263
15420,2994,2024-02-09,00:00:00,2994,200.3904,11.26389,270.26,7000,259.26,0.001678755
15420,3721,2024-02-09,00:00:00,3721,185.3129,6.636553,266.66,6380,252.66,0.0009765575
15420,4455,2024-02-09,00:00:00,4455,172.2065,3.839339,261.06,5800,246.06,0.0005536437
15420,5478,2024-02-09,00:00:00,5478,155.4463,4.181463,252.26,5060,246.26,0.0005835751
15420,5570,2024-02-09,00:00:00,5570,153.8863,3.357465,251.86,5000,243.86,0.0004678665
15420,5629,2024-02-09,00:00:00,5629,152.4714,2.154191,252.26,4960,239.26,0.0003006441
15420,6117,2024-02-09,00:00:00,6117,144.5166,1.064996,249.06,4640,232.06,0.0001468324
15420,6291,2024-02-09,00:00:00,6291,141.6725,0.7800314,248.06,4530,229.06,0.0001071314
15420,6783,2024-02-09,00:00:00,6783,134.7702,1.161031,243.46,4230,232.46,0.0001566315
15420,7190,2024-02-09,00:00:00,7190,129.2691,0.6686701,240.06,4000,227.06,0.00008900311
15420,7529,2024-02-09,00:00:00,7529,124.5916,0.4464995,237.26,3810,223.26,0.00005876762
15420,8632,2024-02-09,00:00:00,8632,109.8539,0.1197122,228.86,3240,211.86,0.00001522155
15420,9140,2024-02-09,00:00:00,9140,103.7115,0.09079046,224.46,3000,209.46,0.00001133117
15420,10258,2024-02-09,00:00:00,10258,91.09557,0.06790112,214.66,2520,206.66,0.000008118827
15420,10310,2024-02-09,00:00:00,10310,90.5418,0.05615125,214.26,2500,205.26,0.000006701889
15420,10564,2024-02-09,00:00:00,10564,87.73903,0.05719369,212.26,2400,205.26,0.000006765037
15420,11323,2024-02-09,00:00:00,11323,79.52746,0.0175234,206.86,2120,196.86,0.000002021965
15420,11680,2024-02-09,00:00:00,11680,75.83213,0.02356594,204.66,2000,198.66,0.000002691347
15420,11831,2024-02-09,00:00:00,11831,74.08114,0.02226499,204.26,1950,198.26,0.000002537986
15420,91,2024-02-09,00:00:00,91,274.9626,35.19673,279.96,9990,275.06,0.00542452
15420,141,2024-02-09,00:00:00,141,270.4157,34.22703,282.96,9930,274.96,0.005328738
15420,276,2024-02-09,00:00:00,276,264.1606,33.76034,284.96,9770,274.96,0.005291338
15420,405,2024-02-09,00:00:00,405,259.8662,34.2,285.16,9620,275.16,0.005363819
15420,737,2024-02-09,00:00:00,737,251.2521,27.34933,283.96,9250,271.96,0.004272246
15420,764,2024-02-09,00:00:00,764,250.4323,27.34933,283.96,9220,271.96,0.004272246
15420,1435,2024-02-09,00:00:00,1435,235.2307,31.49004,278.36,8500,273.36,0.00482689
15420,1745,2024-02-09,00:00:00,1745,228.9338,26.15159,275.56,8180,270.56,0.003970263
15420,2994,2024-02-09,00:00:00,2994,200.3904,11.26389,270.26,7000,259.26,0.001678755
15420,3721,2024-02-09,00:00:00,3721,185.3129,6.636553,266.66,6380,252.66,0.0009765575
15420,4455,2024-02-09,00:00:00,4455,172.2065,3.839339,261.06,5800,246.06,0.0005536437
15420,5478,2024-02-09,00:00:00,5478,155.4463,4.181463,252.26,5060,246.26,0.0005835751
15420,5570,2024-02-09,00:00:00,5570,153.8863,3.357465,251.86,5000,243.86,0.0004678665
15420,5629,2024-02-09,00:00:00,5629,152.4714,2.154191,252.26,4960,239.26,0.0003006441
15420,6117,2024-02-09,00:00:00,6117,144.5166,1.064996,249.06,4640,232.06,0.0001468324
15420,6291,2024-02-09,00:00:00,6291,141.6725,0.7800314,248.06,4530,229.06,0.0001071314
15420,6783,2024-02-09,00:00:00,6783,134.7702,1.161031,243.46,4230,232.46,0.0001566315
15420,7190,2024-02-09,00:00:00,7190,129.2691,0.6686701,240.06,4000,227.06,0.00008900311
15420,7529,2024-02-09,00:00:00,7529,124.5916,0.4464995,237.26,3810,223.26,0.00005876762
15420,8632,2024-02-09,00:00:00,8632,109.8539,0.1197122,228.86,3240,211.86,0.00001522155
15420,9140,2024-02-09,00:00:00,9140,103.7115,0.09079046,224.46,3000,209.46,0.00001133117
15420,10258,2024-02-09,00:00:00,10258,91.09557,0.06790112,214.66,2520,206.66,0.000008118827
15420,10310,2024-02-09,00:00:00,10310,90.5418,0.05615125,214.26,2500,205.26,0.000006701889
15420,10564,2024-02-09,00:00:00,10564,87.73903,0.05719369,212.26,2400,205.26,0.000006765037
15420,11323,2024-02-09,00:00:00,11323,79.52746,0.0175234,206.86,2120,196.86,0.000002021965
15420,11680,2024-02-09,00:00:00,11680,75.83213,0.02356594,204.66,2000,198.66,0.000002691347
15420,11831,2024-02-09,00:00:00,11831,74.08114,0.02226499,204.26,1950,198.26,0.000002537986
