WMOID,HEIGHT,DATE,TIME,HEIGHT,N_DRY,N_WET,TEMPERATURE,PRESSURE,DEWPOINT,RHOWV
15420,91,2024-02-07,12:00:00,91,265.9658,38.84471,289.36,10000,277.36,0.006177375
15420,600,2024-02-07,12:00:00,600,255.4599,33.55487,283.76,9410,274.76,0.005238112
15420,749,2024-02-07,12:00:00,749,250.7756,23.11037,284.76,9250,269.76,0.003619731
15420,858,2024-02-07,12:00:00,858,247.1656,16.69854,285.56,9130,265.56,0.002622432
15420,1452,2024-02-07,12:00:00,1452,233.5711,12.52585,281.56,8500,261.56,0.001940962
15420,2349,2024-02-07,12:00:00,2349,214.9277,11.61268,273.96,7610,259.96,0.001753271
15420,3020,2024-02-07,12:00:00,3020,200.5957,7.418534,270.26,7000,254.26,0.001105648
15420,3506,2024-02-07,12:00:00,3506,190.4352,3.584776,267.86,6580,245.86,0.0005297535
15420,3662,2024-02-07,12:00:00,3662,187.1405,5.269341,267.06,6450,250.06,0.0007764821
15420,4158,2024-02-07,12:00:00,4158,178.0705,5.046686,263.26,6050,249.26,0.00073359
15420,4534,2024-02-07,12:00:00,4534,171.2865,1.173064,260.86,5760,233.86,0.0001690357
15420,4776,2024-02-07,12:00:00,4776,167.0394,4.599232,258.86,5580,247.86,0.0006578933
15420,5022,2024-02-07,12:00:00,5022,162.9899,2.940466,256.86,5400,242.86,0.0004175166
15420,5448,2024-02-07,12:00:00,5448,156.0104,2.641247,253.46,5100,241.46,0.0003702924
15420,5565,2024-02-07,12:00:00,5565,153.8574,4.011883,252.86,5020,245.86,0.0005611792
15420,5600,2024-02-07,12:00:00,5600,153.3686,3.944721,252.66,5000,245.66,0.0005513681
15420,6147,2024-02-07,12:00:00,6147,144.8268,1.857839,248.46,4640,237.46,0.0002555532
15420,6210,2024-02-07,12:00:00,6210,143.8888,2.604502,247.86,4600,240.86,0.0003574331
15420,6257,2024-02-07,12:00:00,6257,143.038,3.15776,247.66,4570,242.86,0.0004330264
15420,6498,2024-02-07,12:00:00,6498,139.0271,2.871193,246.46,4420,241.76,0.000391906
15420,6531,2024-02-07,12:00:00,6531,138.4138,2.533699,246.46,4400,240.46,0.0003458394
15420,7192,2024-02-07,12:00:00,7192,128.702,1.334348,241.66,4010,233.66,0.0001787401
15420,7210,2024-02-07,12:00:00,7210,128.4886,1.30917,241.46,4000,233.46,0.0001752287
15420,8176,2024-02-07,12:00:00,8176,115.834,0.7906395,233.06,3480,228.06,0.0001022981
15420,8273,2024-02-07,12:00:00,8273,114.569,0.6529177,232.26,3430,226.26,0.00008420096
15420,8313,2024-02-07,12:00:00,8313,113.8191,0.2981699,232.46,3410,219.46,0.00003848403
15420,9180,2024-02-07,12:00:00,9180,103.2479,0.1717168,225.46,3000,214.46,0.00002152283
15420,9561,2024-02-07,12:00:00,9561,98.71265,0.1201594,222.46,2830,211.46,0.00001486833
15420,9653,2024-02-07,12:00:00,9653,97.49408,0.08791395,222.06,2790,209.06,0.00001085956
15420,10360,2024-02-07,12:00:00,10360,89.37223,0.09192767,217.06,2500,209.06,0.00001110971
15420,10696,2024-02-07,12:00:00,10696,85.91143,0.1093096,214.06,2370,210.16,0.00001303486
15420,11471,2024-02-07,12:00:00,11471,77.94832,0.0546896,208.06,2090,204.66,0.000006345672
15420,11740,2024-02-07,12:00:00,11740,75.09748,0.04170442,206.66,2000,202.66,0.000004807651
15420,12814,2024-02-07,12:00:00,12814,64.32548,0.02322662,201.46,1670,198.36,0.000002612635
15420,13139,2024-02-07,12:00:00,13139,61.37703,0.01556452,199.76,1580,195.66,0.000001736529
15420,13450,2024-02-07,12:00:00,13450,57.04176,0.007081898,204.06,1500,191.06,0.0000008065042
15420,91,2024-02-07,12:00:00,91,265.9658,38.84471,289.36,10000,277.36,0.006177375
15420,600,2024-02-07,12:00:00,600,255.4599,33.55487,283.76,9410,274.76,0.005238112
15420,749,2024-02-07,12:00:00,749,250.7756,23.11037,284.76,9250,269.76,0.003619731
15420,858,2024-02-07,12:00:00,858,247.1656,16.69854,285.56,9130,265.56,0.002622432
15420,1452,2024-02-07,12:00:00,1452,233.5711,12.52585,281.56,8500,261.56,0.001940962
15420,2349,2024-02-07,12:00:00,2349,214.9277,11.61268,273.96,7610,259.96,0.001753271
15420,3020,2024-02-07,12:00:00,3020,200.5957,7.418534,270.26,7000,254.26,0.001105648
15420,3506,2024-02-07,12:00:00,3506,190.4352,3.584776,267.86,6580,245.86,0.0005297535
15420,3662,2024-02-07,12:00:00,3662,187.1405,5.269341,267.06,6450,250.06,0.0007764821
15420,4158,2024-02-07,12:00:00,4158,178.0705,5.046686,263.26,6050,249.26,0.00073359
15420,4534,2024-02-07,12:00:00,4534,171.2865,1.173064,260.86,5760,233.86,0.0001690357
15420,4776,2024-02-07,12:00:00,4776,167.0394,4.599232,258.86,5580,247.86,0.0006578933
15420,5022,2024-02-07,12:00:00,5022,162.9899,2.940466,256.86,5400,242.86,0.0004175166
15420,5448,2024-02-07,12:00:00,5448,156.0104,2.641247,253.46,5100,241.46,0.0003702924
15420,5565,2024-02-07,12:00:00,5565,153.8574,4.011883,252.86,5020,245.86,0.0005611792
15420,5600,2024-02-07,12:00:00,5600,153.3686,3.944721,252.66,5000,245.66,0.0005513681
15420,6147,2024-02-07,12:00:00,6147,144.8268,1.857839,248.46,4640,237.46,0.0002555532
15420,6210,2024-02-07,12:00:00,6210,143.8888,2.604502,247.86,4600,240.86,0.0003574331
15420,6257,2024-02-07,12:00:00,6257,143.038,3.15776,247.66,4570,242.86,0.0004330264
15420,6498,2024-02-07,12:00:00,6498,139.0271,2.871193,246.46,4420,241.76,0.000391906
15420,6531,2024-02-07,12:00:00,6531,138.4138,2.533699,246.46,4400,240.46,0.0003458394
15420,7192,2024-02-07,12:00:00,7192,128.702,1.334348,241.66,4010,233.66,0.0001787401
15420,7210,2024-02-07,12:00:00,7210,128.4886,1.30917,241.46,4000,233.46,0.0001752287
15420,8176,2024-02-07,12:00:00,8176,115.834,0.7906395,233.06,3480,228.06,0.0001022981
15420,8273,2024-02-07,12:00:00,8273,114.569,0.6529177,232.26,3430,226.26,0.00008420096
15420,8313,2024-02-07,12:00:00,8313,113.8191,0.2981699,232.46,3410,219.46,0.00003848403
15420,9180,2024-02-07,12:00:00,9180,103.2479,0.1717168,225.46,3000,214.46,0.00002152283
15420,9561,2024-02-07,12:00:00,9561,98.71265,0.1201594,222.46,2830,211.46,0.00001486833
15420,9653,2024-02-07,12:00:00,9653,97.49408,0.08791395,222.06,2790,209.06,0.00001085956
15420,10360,2024-02-07,12:00:00,10360,89.37223,0.09192767,217.06,2500,209.06,0.00001110971
15420,10696,2024-02-07,12:00:00,10696,85.91143,0.1093096,214.06,2370,210.16,0.00001303486
15420,11471,2024-02-07,12:00:00,11471,77.94832,0.0546896,208.06,2090,204.66,0.000006345672
15420,11740,2024-02-07,12:00:00,11740,75.09748,0.04170442,206.66,2000,202.66,0.000004807651
15420,12814,2024-02-07,12:00:00,12814,64.32548,0.02322662,201.46,1670,198.36,0.000002612635
15420,13139,2024-02-07,12:00:00,13139,61.37703,0.01556452,199.76,1580,195.66,0.000001736529
15420,13450,2024-02-07,12:00:00,13450,57.04176,0.007081898,204.06,1500,191.06,0.0000008065042
