WMOID	HEIGHT	DATE	TIME	HEIGHT	N_DRY	N_WET	TEMPERATURE	PRESSURE	DEWPOINT	RHOWV
14240	123	2024-02-10	12:00:00	123	259.9221	42.43169	290.76	9830	278.76	0.006778755
14240	642	2024-02-10	12:00:00	642	249.0924	40.42147	285.56	9250	277.56	0.006348013
14240	1343	2024-02-10	12:00:00	1343	234.2756	36.41933	279.16	8500	275.46	0.005597709
14240	1536	2024-02-10	12:00:00	1536	230.3951	36.41026	277.16	8300	275.26	0.00555821
14240	1944	2024-02-10	12:00:00	1944	221.6311	31.28008	274.16	7890	272.86	0.004725914
14240	2212	2024-02-10	12:00:00	2212	215.2859	24.2887	273.36	7630	269.36	0.003659446
14240	2902	2024-02-10	12:00:00	2902	201.4981	18.71773	268.26	7000	265.46	0.002770013
14240	3209	2024-02-10	12:00:00	3209	195.3642	17.59698	266.06	6730	264.46	0.002583818
14240	3432	2024-02-10	12:00:00	3432	189.5009	18.24309	266.46	6540	264.96	0.002682523
14240	3480	2024-02-10	12:00:00	3480	187.9567	17.33254	267.06	6500	264.36	0.002554096
14240	4285	2024-02-10	12:00:00	4285	171.1424	10.44265	264.86	5860	257.86	0.001526739
14240	4800	2024-02-10	12:00:00	4800	162.1905	11.17738	261.26	5480	258.36	0.001612987
14240	5040	2024-02-10	12:00:00	5040	158.1705	7.739916	259.86	5310	253.86	0.001111227
14240	5404	2024-02-10	12:00:00	5404	151.8448	10.74973	257.66	5060	257.56	0.001530887
14240	5500	2024-02-10	12:00:00	5500	150.0097	9.003346	257.86	5000	255.46	0.001283131
14240	5591	2024-02-10	12:00:00	5591	148.6318	7.432622	257.26	4940	253.16	0.001056925
14240	6316	2024-02-10	12:00:00	6316	138.1763	5.945269	251.06	4480	250.06	0.0008259671
14240	6997	2024-02-10	12:00:00	6997	127.7257	2.322096	247.66	4080	239.66	0.000318431
14240	7150	2024-02-10	12:00:00	7150	125.831	2.298943	246.46	4000	239.46	0.0003137962
14240	7240	2024-02-10	12:00:00	7240	124.5763	1.973346	245.86	3950	237.86	0.0002687269
14240	7648	2024-02-10	12:00:00	7648	119.3756	2.13412	242.26	3730	238.36	0.000286551
14240	8357	2024-02-10	12:00:00	8357	110.5675	0.5766022	236.46	3370	225.46	0.00007564657
14240	8755	2024-02-10	12:00:00	8755	105.9405	0.6942544	232.86	3180	226.86	0.00008975335
14240	8884	2024-02-10	12:00:00	8884	104.4917	0.4367166	231.66	3120	222.66	0.00005618002
14240	9059	2024-02-10	12:00:00	9059	102.5136	0.5817253	230.06	3040	225.06	0.00007433881
14240	9150	2024-02-10	12:00:00	9150	101.5194	0.5412303	229.26	3000	224.36	0.00006893339
14240	9172	2024-02-10	12:00:00	9172	101.2698	0.5300048	229.06	2990	224.16	0.00006744722
14240	9217	2024-02-10	12:00:00	9217	100.6706	0.7423644	228.86	2970	227.16	0.00009439253
14240	9262	2024-02-10	12:00:00	9262	100.0933	0.4480085	228.66	2950	222.66	0.0000569171
14240	10350	2024-02-10	12:00:00	10350	88.47034	0.2080758	219.26	2500	215.56	0.00002539129
14240	10636	2024-02-10	12:00:00	10636	85.59433	0.1636171	216.66	2390	213.46	0.00001973856
14240	11740	2024-02-10	12:00:00	11740	74.66385	0.04304858	207.86	2000	202.96	0.000004990336
14240	12748	2024-02-10	12:00:00	12748	64.90267	0.0204387	202.06	1690	197.56	0.000002305634
14240	13056	2024-02-10	12:00:00	13056	60.16357	0.003821348	207.66	1610	187.66	0.0000004425732
14240	123	2024-02-10	12:00:00	123	259.9221	42.43169	290.76	9830	278.76	0.006778755
14240	642	2024-02-10	12:00:00	642	249.0924	40.42147	285.56	9250	277.56	0.006348013
14240	1343	2024-02-10	12:00:00	1343	234.2756	36.41933	279.16	8500	275.46	0.005597709
14240	1536	2024-02-10	12:00:00	1536	230.3951	36.41026	277.16	8300	275.26	0.00555821
14240	1944	2024-02-10	12:00:00	1944	221.6311	31.28008	274.16	7890	272.86	0.004725914
14240	2212	2024-02-10	12:00:00	2212	215.2859	24.2887	273.36	7630	269.36	0.003659446
14240	2902	2024-02-10	12:00:00	2902	201.4981	18.71773	268.26	7000	265.46	0.002770013
14240	3209	2024-02-10	12:00:00	3209	195.3642	17.59698	266.06	6730	264.46	0.002583818
14240	3432	2024-02-10	12:00:00	3432	189.5009	18.24309	266.46	6540	264.96	0.002682523
14240	3480	2024-02-10	12:00:00	3480	187.9567	17.33254	267.06	6500	264.36	0.002554096
14240	4285	2024-02-10	12:00:00	4285	171.1424	10.44265	264.86	5860	257.86	0.001526739
14240	4800	2024-02-10	12:00:00	4800	162.1905	11.17738	261.26	5480	258.36	0.001612987
14240	5040	2024-02-10	12:00:00	5040	158.1705	7.739916	259.86	5310	253.86	0.001111227
14240	5404	2024-02-10	12:00:00	5404	151.8448	10.74973	257.66	5060	257.56	0.001530887
14240	5500	2024-02-10	12:00:00	5500	150.0097	9.003346	257.86	5000	255.46	0.001283131
14240	5591	2024-02-10	12:00:00	5591	148.6318	7.432622	257.26	4940	253.16	0.001056925
14240	6316	2024-02-10	12:00:00	6316	138.1763	5.945269	251.06	4480	250.06	0.0008259671
14240	6997	2024-02-10	12:00:00	6997	127.7257	2.322096	247.66	4080	239.66	0.000318431
14240	7150	2024-02-10	12:00:00	7150	125.831	2.298943	246.46	4000	239.46	0.0003137962
14240	7240	2024-02-10	12:00:00	7240	124.5763	1.973346	245.86	3950	237.86	0.0002687269
14240	7648	2024-02-10	12:00:00	7648	119.3756	2.13412	242.26	3730	238.36	0.000286551
14240	8357	2024-02-10	12:00:00	8357	110.5675	0.5766022	236.46	3370	225.46	0.00007564657
14240	8755	2024-02-10	12:00:00	8755	105.9405	0.6942544	232.86	3180	226.86	0.00008975335
14240	8884	2024-02-10	12:00:00	8884	104.4917	0.4367166	231.66	3120	222.66	0.00005618002
14240	9059	2024-02-10	12:00:00	9059	102.5136	0.5817253	230.06	3040	225.06	0.00007433881
14240	9150	2024-02-10	12:00:00	9150	101.5194	0.5412303	229.26	3000	224.36	0.00006893339
14240	9172	2024-02-10	12:00:00	9172	101.2698	0.5300048	229.06	2990	224.16	0.00006744722
14240	9217	2024-02-10	12:00:00	9217	100.6706	0.7423644	228.86	2970	227.16	0.00009439253
