WMOID,HEIGHT,DATE,TIME,HEIGHT,N_DRY,N_WET,TEMPERATURE,PRESSURE,DEWPOINT,RHOWV
15420,91,2024-02-23,12:00:00,91,267.1108,29.5852,289.56,10030,273.56,0.004707942
15420,126,2024-02-23,12:00:00,126,266.7235,28.81661,289.16,10000,273.16,0.004579627
15420,777,2024-02-23,12:00:00,777,253.4385,26.99999,281.56,9250,271.56,0.004183824
15420,857,2024-02-23,12:00:00,857,251.6508,27.55261,280.76,9160,271.76,0.004257934
15420,1468,2024-02-23,12:00:00,1468,237.9517,22.82491,275.76,8500,268.76,0.003467606
15420,1669,2024-02-23,12:00:00,1669,233.7265,20.16485,273.96,8290,266.96,0.003044469
15420,2669,2024-02-23,12:00:00,2669,209.5594,6.244623,270.26,7310,252.26,0.0009306902
15420,2900,2024-02-23,12:00:00,2900,202.4048,7.598769,271.66,7100,254.66,0.001138092
15420,3017,2024-02-23,12:00:00,3017,200.1231,10.69266,270.66,7000,258.66,0.001595864
15420,4192,2024-02-23,12:00:00,4192,176.9563,14.67133,262.86,6020,261.86,0.002129548
15420,4347,2024-02-23,12:00:00,4347,172.9901,12.61661,263.66,5900,260.06,0.001836614
15420,4816,2024-02-23,12:00:00,4816,164.0395,8.303779,261.86,5550,254.86,0.001200926
15420,5239,2024-02-23,12:00:00,5239,156.554,9.046624,259.46,5250,255.66,0.001296926
15420,5620,2024-02-23,12:00:00,5620,150.2821,5.959073,257.66,5000,250.66,0.0008486419
15420,6146,2024-02-23,12:00:00,6146,142.1656,3.363303,254.06,4660,244.06,0.0004725871
15420,7204,2024-02-23,12:00:00,7204,127.7267,1.953156,244.66,4030,237.66,0.0002647364
15420,7260,2024-02-23,12:00:00,7260,127.083,2.041978,244.06,4000,238.06,0.0002761267
15420,7458,2024-02-23,12:00:00,7458,124.5952,2.31252,242.06,3890,239.16,0.0003102598
15420,8020,2024-02-23,12:00:00,8020,117.1474,1.527833,237.66,3590,234.66,0.0002014157
15420,8255,2024-02-23,12:00:00,8255,114.1265,0.8425053,235.86,3470,228.86,0.0001102628
15420,8828,2024-02-23,12:00:00,8828,107.2888,0.6766666,230.66,3190,226.46,0.00008668752
15420,9151,2024-02-23,12:00:00,9151,103.4261,0.2951081,228.06,3040,219.06,0.00003739759
15420,9240,2024-02-23,12:00:00,9240,102.3336,0.3111418,227.46,3000,219.46,0.00003932998
15420,9764,2024-02-23,12:00:00,9764,96.52022,0.4059057,222.66,2770,221.36,0.00005026946
15420,9954,2024-02-23,12:00:00,9954,94.50358,0.2407957,220.86,2690,216.86,0.00002958993
15420,10430,2024-02-23,12:00:00,10430,89.20636,0.1256349,217.46,2500,211.46,0.00001521019
15420,10821,2024-02-23,12:00:00,10821,84.79292,0.04709559,215.06,2350,204.06,0.000005641228
15420,11820,2024-02-23,12:00:00,11820,74.95247,0.03978821,207.06,2000,202.36,0.000004595297
15420,91,2024-02-23,12:00:00,91,267.1108,29.5852,289.56,10030,273.56,0.004707942
15420,126,2024-02-23,12:00:00,126,266.7235,28.81661,289.16,10000,273.16,0.004579627
15420,777,2024-02-23,12:00:00,777,253.4385,26.99999,281.56,9250,271.56,0.004183824
15420,857,2024-02-23,12:00:00,857,251.6508,27.55261,280.76,9160,271.76,0.004257934
15420,1468,2024-02-23,12:00:00,1468,237.9517,22.82491,275.76,8500,268.76,0.003467606
15420,1669,2024-02-23,12:00:00,1669,233.7265,20.16485,273.96,8290,266.96,0.003044469
15420,2669,2024-02-23,12:00:00,2669,209.5594,6.244623,270.26,7310,252.26,0.0009306902
15420,2900,2024-02-23,12:00:00,2900,202.4048,7.598769,271.66,7100,254.66,0.001138092
15420,3017,2024-02-23,12:00:00,3017,200.1231,10.69266,270.66,7000,258.66,0.001595864
15420,4192,2024-02-23,12:00:00,4192,176.9563,14.67133,262.86,6020,261.86,0.002129548
15420,4347,2024-02-23,12:00:00,4347,172.9901,12.61661,263.66,5900,260.06,0.001836614
15420,4816,2024-02-23,12:00:00,4816,164.0395,8.303779,261.86,5550,254.86,0.001200926
15420,5239,2024-02-23,12:00:00,5239,156.554,9.046624,259.46,5250,255.66,0.001296926
15420,5620,2024-02-23,12:00:00,5620,150.2821,5.959073,257.66,5000,250.66,0.0008486419
15420,6146,2024-02-23,12:00:00,6146,142.1656,3.363303,254.06,4660,244.06,0.0004725871
15420,7204,2024-02-23,12:00:00,7204,127.7267,1.953156,244.66,4030,237.66,0.0002647364
15420,7260,2024-02-23,12:00:00,7260,127.083,2.041978,244.06,4000,238.06,0.0002761267
15420,7458,2024-02-23,12:00:00,7458,124.5952,2.31252,242.06,3890,239.16,0.0003102598
15420,8020,2024-02-23,12:00:00,8020,117.1474,1.527833,237.66,3590,234.66,0.0002014157
15420,8255,2024-02-23,12:00:00,8255,114.1265,0.8425053,235.86,3470,228.86,0.0001102628
15420,8828,2024-02-23,12:00:00,8828,107.2888,0.6766666,230.66,3190,226.46,0.00008668752
15420,9151,2024-02-23,12:00:00,9151,103.4261,0.2951081,228.06,3040,219.06,0.00003739759
15420,9240,2024-02-23,12:00:00,9240,102.3336,0.3111418,227.46,3000,219.46,0.00003932998
15420,9764,2024-02-23,12:00:00,9764,96.52022,0.4059057,222.66,2770,221.36,0.00005026946
15420,9954,2024-02-23,12:00:00,9954,94.50358,0.2407957,220.86,2690,216.86,0.00002958993
15420,10430,2024-02-23,12:00:00,10430,89.20636,0.1256349,217.46,2500,211.46,0.00001521019
15420,10821,2024-02-23,12:00:00,10821,84.79292,0.04709559,215.06,2350,204.06,0.000005641228
15420,11820,2024-02-23,12:00:00,11820,74.95247,0.03978821,207.06,2000,202.36,0.000004595297
